Date,Time,Receipt ID,Covers,Revenue,Items,Category
2026-03-02,10:15,R-1001,2,48.50,3,Food
2026-03-02,10:30,R-1002,4,92.00,6,Food
2026-03-02,11:00,R-1003,3,67.50,5,Food
2026-03-02,11:15,R-1004,2,35.00,2,Drinks
2026-03-02,11:45,R-1005,6,145.00,9,Food
2026-03-02,12:00,R-1006,4,98.00,7,Food
2026-03-02,12:15,R-1007,3,72.50,5,Food
2026-03-02,12:30,R-1008,5,125.00,8,Food
2026-03-02,12:45,R-1009,2,42.00,3,Drinks
2026-03-02,13:00,R-1010,4,95.00,6,Food
2026-03-02,13:30,R-1011,3,68.00,4,Food
2026-03-02,14:00,R-1012,2,45.00,3,Food
2026-03-02,17:00,R-1013,2,38.00,3,Drinks
2026-03-02,17:30,R-1014,4,112.00,7,Food
2026-03-02,18:00,R-1015,6,168.00,11,Food
2026-03-02,18:15,R-1016,3,85.00,5,Food
2026-03-02,18:30,R-1017,4,115.00,8,Food
2026-03-02,18:45,R-1018,5,142.00,9,Food
2026-03-02,19:00,R-1019,8,225.00,14,Food
2026-03-02,19:15,R-1020,6,175.00,10,Food
2026-03-02,19:30,R-1021,4,118.00,7,Food
2026-03-02,19:45,R-1022,5,148.00,9,Food
2026-03-02,20:00,R-1023,7,198.00,12,Food
2026-03-02,20:15,R-1024,4,112.00,6,Food
2026-03-02,20:30,R-1025,3,88.00,5,Drinks
2026-03-02,20:45,R-1026,5,145.00,8,Food
2026-03-02,21:00,R-1027,4,115.00,7,Food
2026-03-02,21:30,R-1028,3,82.00,5,Food
2026-03-02,22:00,R-1029,2,55.00,3,Drinks
2026-03-03,10:00,R-1030,2,42.00,3,Food
2026-03-03,11:00,R-1031,3,68.00,4,Food
2026-03-03,11:30,R-1032,4,95.00,6,Food
2026-03-03,12:00,R-1033,5,128.00,8,Food
2026-03-03,12:30,R-1034,6,155.00,10,Food
2026-03-03,13:00,R-1035,4,102.00,7,Food
2026-03-03,13:30,R-1036,3,78.00,5,Food
2026-03-03,17:30,R-1037,3,82.00,5,Food
2026-03-03,18:00,R-1038,5,145.00,9,Food
2026-03-03,18:30,R-1039,6,172.00,11,Food
2026-03-03,19:00,R-1040,8,235.00,15,Food
2026-03-03,19:30,R-1041,7,198.00,12,Food
2026-03-03,20:00,R-1042,6,168.00,10,Food
2026-03-03,20:30,R-1043,5,142.00,8,Food
2026-03-03,21:00,R-1044,4,108.00,6,Food
2026-03-03,21:30,R-1045,3,78.00,4,Drinks
2026-03-04,10:30,R-1046,2,45.00,3,Food
2026-03-04,11:00,R-1047,3,72.00,5,Food
2026-03-04,11:30,R-1048,5,118.00,8,Food
2026-03-04,12:00,R-1049,6,158.00,10,Food
2026-03-04,12:30,R-1050,7,185.00,12,Food
